name,composition,size,opt_count,mod_count,pes_count,supply_reduction,wsi_increase,gap_change
Energy(Pessimistic)+Cyber(Optimistic),energy:Pessimistic|cyber:Optimistic,2,1,0,1,12.681040892193323,0.09645840150710017,-344.53120000000035
Energy(Pessimistic)+Cyber(Moderate),energy:Pessimistic|cyber:Moderate,2,0,1,1,18.311347491626478,0.2075534671011603,-497.5009999999998
Energy(Pessimistic)+Cyber(Pessimistic),energy:Pessimistic|cyber:Pessimistic,2,0,0,2,33.96396628510435,0.671790623617128,-922.7669999999999
Conflict(Optimistic)+Cyber(Optimistic),conflict:Optimistic|cyber:Optimistic,2,2,0,0,19.399107438624917,0.2980115822249654,-435.4107582990499
Conflict(Optimistic)+Cyber(Moderate),conflict:Optimistic|cyber:Moderate,2,1,1,0,24.442636828738628,0.4243985568478552,-572.4384082990493
Conflict(Optimistic)+Cyber(Pessimistic),conflict:Optimistic|cyber:Pessimistic,2,1,0,1,38.06957377893924,0.9525365925548439,-942.6686582990494
Conflict(Moderate)+Cyber(Optimistic),conflict:Moderate|cyber:Optimistic,2,1,1,0,33.622794361220514,0.504363648198018,-621.9044536787944
Conflict(Moderate)+Cyber(Moderate),conflict:Moderate|cyber:Moderate,2,0,2,0,37.776289153078885,0.6464066249218516,-734.7507536787944
Conflict(Moderate)+Cyber(Pessimistic),conflict:Moderate|cyber:Pessimistic,2,0,1,1,48.99847252383231,1.239966989324411,-1039.6462536787944
Conflict(Pessimistic)+Cyber(Optimistic),conflict:Pessimistic|cyber:Optimistic,2,1,0,1,62.070168206411715,1.432609562142093,-1033.7709439477771
Conflict(Pessimistic)+Cyber(Moderate),conflict:Pessimistic|cyber:Moderate,2,0,1,1,64.44359380175935,1.6450788750907328,-1098.2545439477772
Conflict(Pessimistic)+Cyber(Pessimistic),conflict:Pessimistic|cyber:Pessimistic,2,0,0,2,70.85627001361846,2.5329324369275206,-1272.4805439477773
Drought(Optimistic)+Energy(Optimistic)+Conflict(Optimistic),drought:Optimistic|energy:Optimistic|conflict:Optimistic,3,3,0,0,24.74454341344916,0.43426353129899864,-580.6409082990497
Drought(Optimistic)+Energy(Optimistic)+Conflict(Moderate),drought:Optimistic|energy:Optimistic|conflict:Moderate,3,2,1,0,38.024918105193414,0.657493608691549,-741.5057536787942
Drought(Optimistic)+Energy(Optimistic)+Conflict(Pessimistic),drought:Optimistic|energy:Optimistic|conflict:Pessimistic,3,2,0,1,64.58566748868196,1.6616628969026668,-1102.1145439477773
Drought(Optimistic)+Energy(Moderate)+Conflict(Optimistic),drought:Optimistic|energy:Moderate|conflict:Optimistic,3,2,1,0,26.89261658507858,0.43426353129899864,-639.0019082990495
Drought(Optimistic)+Energy(Moderate)+Conflict(Moderate),drought:Optimistic|energy:Moderate|conflict:Moderate,3,1,2,0,39.793919540652944,0.657493608691549,-789.5677536787944
Drought(Optimistic)+Energy(Moderate)+Conflict(Pessimistic),drought:Optimistic|energy:Moderate|conflict:Pessimistic,3,1,1,1,65.59652545180168,1.6616628969026668,-1129.5785439477772
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Optimistic),drought:Optimistic|energy:Pessimistic|conflict:Optimistic,3,2,0,1,30.114726342522715,0.43426353129899864,-726.5434082990494
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Moderate),drought:Optimistic|energy:Pessimistic|conflict:Moderate,3,1,1,1,42.44742169384225,0.657493608691549,-861.6607536787943
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Pessimistic),drought:Optimistic|energy:Pessimistic|conflict:Pessimistic,3,1,0,2,67.11281239648127,1.6616628969026668,-1170.7745439477771
Drought(Moderate)+Energy(Optimistic)+Conflict(Optimistic),drought:Moderate|energy:Optimistic|conflict:Optimistic,3,2,1,0,33.4150502410836,0.772625176087,-816.2099082990496
Drought(Moderate)+Energy(Optimistic)+Conflict(Moderate),drought:Moderate|energy:Optimistic|conflict:Moderate,3,1,2,0,45.16533549265708,1.0377693086065622,-935.5037536787945
Drought(Moderate)+Energy(Optimistic)+Conflict(Pessimistic),drought:Moderate|energy:Optimistic|conflict:Pessimistic,3,1,1,1,68.66590599580404,2.230483112836996,-1212.9705439477775
Drought(Moderate)+Energy(Moderate)+Conflict(Optimistic),drought:Moderate|energy:Moderate|conflict:Optimistic,3,1,2,0,35.56312341271301,0.772625176087,-874.5709082990495
Drought(Moderate)+Energy(Moderate)+Conflict(Moderate),drought:Moderate|energy:Moderate|conflict:Moderate,3,0,3,0,46.93433692811661,1.0377693086065622,-983.5657536787943
Drought(Moderate)+Energy(Moderate)+Conflict(Pessimistic),drought:Moderate|energy:Moderate|conflict:Pessimistic,3,0,2,1,69.67676395892377,2.230483112836996,-1240.4345439477775
Drought(Moderate)+Energy(Pessimistic)+Conflict(Optimistic),drought:Moderate|energy:Pessimistic|conflict:Optimistic,3,1,1,1,38.785233170157184,0.772625176087,-962.1124082990498
Drought(Moderate)+Energy(Pessimistic)+Conflict(Moderate),drought:Moderate|energy:Pessimistic|conflict:Moderate,3,0,2,1,49.5878390813059,1.0377693086065622,-1055.6587536787947
Drought(Moderate)+Energy(Pessimistic)+Conflict(Pessimistic),drought:Moderate|energy:Pessimistic|conflict:Pessimistic,3,0,1,2,71.19305090360338,2.230483112836996,-1281.6305439477774
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Optimistic),drought:Pessimistic|energy:Optimistic|conflict:Optimistic,3,2,0,1,42.085557068718025,1.2674220708358772,-1051.7789082990498
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Moderate),drought:Pessimistic|energy:Optimistic|conflict:Moderate,3,1,1,1,52.30575288012072,1.5938584468547645,-1129.5017536787946
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Pessimistic),drought:Pessimistic|energy:Optimistic|conflict:Pessimistic,3,1,0,2,72.74614450292613,3.0622868377864707,-1323.8265439477773
Drought(Pessimistic)+Energy(Moderate)+Conflict(Optimistic),drought:Pessimistic|energy:Moderate|conflict:Optimistic,3,1,1,1,44.23363024034745,1.2674220708358772,-1110.1399082990497
Drought(Pessimistic)+Energy(Moderate)+Conflict(Moderate),drought:Pessimistic|energy:Moderate|conflict:Moderate,3,0,2,1,54.07475431558026,1.5938584468547645,-1177.5637536787945
Drought(Pessimistic)+Energy(Moderate)+Conflict(Pessimistic),drought:Pessimistic|energy:Moderate|conflict:Pessimistic,3,0,1,2,73.75700246604586,3.0622868377864707,-1351.2905439477772
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Optimistic),drought:Pessimistic|energy:Pessimistic|conflict:Optimistic,3,1,0,2,47.455739997791596,1.2674220708358772,-1197.6814082990497
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Moderate),drought:Pessimistic|energy:Pessimistic|conflict:Moderate,3,0,1,2,56.72825646876955,1.5938584468547645,-1249.6567536787943
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Pessimistic),drought:Pessimistic|energy:Pessimistic|conflict:Pessimistic,3,0,0,3,75.27328941072545,3.0622868377864707,-1392.4865439477771
Drought(Optimistic)+Energy(Optimistic)+Cyber(Optimistic),drought:Optimistic|energy:Optimistic|cyber:Optimistic,3,3,0,0,16.11692369980493,0.33249917071516055,-437.88070000000016
Drought(Optimistic)+Energy(Optimistic)+Cyber(Moderate),drought:Optimistic|energy:Optimistic|cyber:Moderate,3,2,1,0,21.489914976627777,0.46719564316049333,-583.8595
Drought(Optimistic)+Energy(Optimistic)+Cyber(Pessimistic),drought:Optimistic|energy:Optimistic|cyber:Pessimistic,3,2,0,1,35.92833744340977,1.0392477275754317,-976.1369999999998
Drought(Optimistic)+Energy(Moderate)+Cyber(Optimistic),drought:Optimistic|energy:Moderate|cyber:Optimistic,3,2,1,0,18.618797158526263,0.33249917071516055,-505.8541000000001
Drought(Optimistic)+Energy(Moderate)+Cyber(Moderate),drought:Optimistic|energy:Moderate|cyber:Moderate,3,1,2,0,23.890702639037134,0.46719564316049333,-649.0864999999999
Drought(Optimistic)+Energy(Moderate)+Cyber(Pessimistic),drought:Optimistic|energy:Moderate|cyber:Pessimistic,3,1,1,1,38.20276786042917,1.0392477275754317,-1037.931
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Optimistic),drought:Optimistic|energy:Pessimistic|cyber:Optimistic,3,2,0,1,22.37160734660826,0.33249917071516055,-607.8141999999998
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Moderate),drought:Optimistic|energy:Pessimistic|cyber:Moderate,3,1,1,1,27.49188413265118,0.46719564316049333,-746.9269999999998
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Pessimistic),drought:Optimistic|energy:Pessimistic|cyber:Pessimistic,3,1,0,2,41.614413485958266,1.0392477275754317,-1130.6220000000003
Drought(Moderate)+Energy(Optimistic)+Cyber(Optimistic),drought:Moderate|energy:Optimistic|cyber:Optimistic,3,2,1,0,25.80749015421989,0.6592640579116213,-701.1637000000001
Drought(Moderate)+Energy(Optimistic)+Cyber(Moderate),drought:Moderate|energy:Optimistic|cyber:Moderate,3,1,2,0,30.67045161765248,0.8293119669458988,-833.2855000000001
