year,population,kinneret level (m),tot water produced (million m3),tot water produced without desalination (million m3),tot water produced without water reuse (million m3),tot water produced without water reuse and desalination (million m3),total produced by wells (milion m3),produced by Kinneret (milion m3),total produced by Upper water (milion m3),produced by Effluents (milion m3),Water desalination (mCm),Ashdod (MCM/Y),Sorek (MCM/Y),Hadera (MCM/Y),Palmachim (MCM/Y),Ashkelon (MCM/Y),total water consumed (milion m3),Domestic (milion m3),Industrial (milion m3),Agricultural (milion m3), Water for the environment (milion m3),       Other suppliers ,Average maximum temperatue,Average minimum temperatue,Mean annual temperature,Annual total wet-day precipitation (mm),Extremely wet days (mm),Simple daily intensity index (mm/day),Drought index,Water tarif for citizens (NIS),Desalinated Water cost for goverment (NIS),Water tarif to desalination plants (NIS),Tarif Domestic Use (Initial Cubic Meter) NIS/m3,Tarif Domestic Use (Additional Cubic Meter) NIS/m3,Tarif Agricultural Use (Treated Water)NIS/m3,Tarif Agricultural Use (Saline Water)NIS/m3,Tarif Industrial Use (Initial Rate)NIS/m3,Tarif Public Gardening (Base Rate)NIS/m3,Tarif  Public Gardening (Excess Rate)NIS/m3,Electricity Price (NIS/kWh),Energy consumed for production desalinated water (kWh) fixed price per m3,Energy used per desalinated water (kWh),Total t.o.e. electricty consumed ,Total electricity consumed in israel (kWh),Grid Dependency of Water Sector (%),Backup / Renewable Energy Fraction (%),Conflict Disruption (% supply lost),Conflict Scenario Flag (Y/N),Population Displacement (persons or %),Conflict Severity Index (0-3),Conflict Start Year (YYYY),Conflict Duration (years),Cyber Attack Downtime (days/year or % time),Cybersecurity Scenario Flag (Y/N),Cyber Incident Frequency (incidents/year),Cyber Threat Level Index (0-3),Attack Attempt Frequency (attempts/year),Attack Success Probability (%),"Household Income (Low-Income, NIS/year)",Affordability Threshold (% income),New Desal Capacity (m³/day or MCM/year),Commissioning Year (YYYY),Plant Location / Region (ID),Scenario Crisis Combination (label),Supply Reliability (%),Resilience Index (dimensionless),Shortfall Severity (MCM or % demand),Mean Recovery Time (days),Impairment of functional continuity,Intrusion into computer systems,Weaknesses in a computer system,total_supply,total_demand,surplus,total_supply_mcm_hist,total_demand_mcm,surplus_mcm_hist,water_desalination_mcm,capped_groundwater,produced_by_kinneret_milion_m3,capped_reuse,total_produced_by_upper_water_milion_m3,renewable_supply_mcm_hist,wsi_hist,ddr_hist,supply_per_capita,demand_per_capita,demand_mcm,desal_mcm,groundwater_mcm,surface_mcm,reuse_mcm,upper_water_mcm,total_supply_mcm_proj,renewable_supply_mcm_proj,surplus_mcm_proj,wsi_proj,ddr_proj,total_supply_mcm,renewable_supply_mcm,wsi,ddr,surplus_mcm
2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3127.0327205827007,,,,,886.6,1226.4,159.3,694.6,,,,,,,3127.0327205827007,886.6,1226.4,159.3,694.6,,2966.9,2080.3,-160.13272058270059,1.5031643131195984,0.2988304290673767,2966.9,2080.3,1.5031643131195984,0.2988304290673767,-160.13272058270059
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3189.5733749943547,,,,,886.6,1226.4,159.3,694.6,,,,,,,3189.5733749943547,886.6,1226.4,159.3,694.6,,2966.9,2080.3,-222.67337499435462,1.5332275993819904,0.2988304290673767,2966.9,2080.3,1.5332275993819904,0.2988304290673767,-222.67337499435462
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253.3648424942417,,,,,886.6,1226.4,159.3,694.6,,,,,,,3253.3648424942417,886.6,1226.4,159.3,694.6,,2966.9,2080.3,-286.46484249424157,1.56389215136963,0.2988304290673767,2966.9,2080.3,1.56389215136963,0.2988304290673767,-286.46484249424157
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318.4321393441264,,,,,1086.6,1226.4,159.3,774.6,,,,,,,3318.4321393441264,1086.6,1226.4,159.3,774.6,,3246.9,2160.3,-71.53213934412634,1.5360978287016276,0.334657673473159,3246.9,2160.3,1.5360978287016276,0.334657673473159,-71.53213934412634
2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.800782131009,,,,,1086.6,1226.4,159.3,774.6,,,,,,,3384.800782131009,1086.6,1226.4,159.3,774.6,,3246.9,2160.3,-137.90078213100878,1.5668197852756602,0.334657673473159,3246.9,2160.3,1.5668197852756602,0.334657673473159,-137.90078213100878
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452.496797773629,,,,,1086.6,1226.4,159.3,774.6,,,,,,,3452.496797773629,1086.6,1226.4,159.3,774.6,,3246.9,2160.3,-205.59679777362908,1.5981561809811733,0.334657673473159,3246.9,2160.3,1.5981561809811733,0.334657673473159,-205.59679777362908
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521.546733729102,,,,,1086.6,1226.4,159.3,774.6,,,,,,,3521.546733729102,1086.6,1226.4,159.3,774.6,,3246.9,2160.3,-274.6467337291019,1.630119304600797,0.334657673473159,3246.9,2160.3,1.630119304600797,0.334657673473159,-274.6467337291019
2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3591.977668403684,,,,,1086.6,1226.4,159.3,774.6,,,,,,,3591.977668403684,1086.6,1226.4,159.3,774.6,,3246.9,2160.3,-345.07766840368413,1.662721690692813,0.334657673473159,3246.9,2160.3,1.662721690692813,0.334657673473159,-345.07766840368413
2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663.817221771758,,,,,1386.6,1226.4,159.3,874.6,,,,,,,3663.817221771758,1386.6,1226.4,159.3,874.6,,3646.9,2260.3,-16.917221771757795,1.6209428933202485,0.380213331870904,3646.9,2260.3,1.6209428933202485,0.380213331870904,-16.917221771757795
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737.093566207193,,,,,1386.6,1226.4,159.3,874.6,,,,,,,3737.093566207193,1386.6,1226.4,159.3,874.6,,3646.9,2260.3,-90.19356620719282,1.6533617511866534,0.380213331870904,3646.9,2260.3,1.6533617511866534,0.380213331870904,-90.19356620719282
2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811.835437531337,,,,,1386.6,1226.4,159.3,874.6,,,,,,,3811.835437531337,1386.6,1226.4,159.3,874.6,,3646.9,2260.3,-164.9354375313369,1.6864289862103865,0.380213331870904,3646.9,2260.3,1.6864289862103865,0.380213331870904,-164.9354375313369
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888.072146281964,,,,,1386.6,1226.4,159.3,874.6,,,,,,,3888.072146281964,1386.6,1226.4,159.3,874.6,,3646.9,2260.3,-241.1721462819637,1.7201575659345942,0.380213331870904,3646.9,2260.3,1.7201575659345942,0.380213331870904,-241.1721462819637
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.833589207603,,,,,1386.6,1226.4,159.3,874.6,,,,,,,3965.833589207603,1386.6,1226.4,159.3,874.6,,3646.9,2260.3,-318.93358920760284,1.7545607172532862,0.380213331870904,3646.9,2260.3,1.7545607172532862,0.380213331870904,-318.93358920760284
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045.150260991755,,,,,1986.6,1226.4,159.3,1024.6,,,,,,,4045.150260991755,1986.6,1226.4,159.3,1024.6,,4396.9,2410.3,351.74973900824443,1.6782766713652886,0.45181832654824994,4396.9,2410.3,1.6782766713652886,0.45181832654824994,351.74973900824443
