name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Drought(Moderate)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),70.32299606168796,2.50897538001574,-1257.9920239477774,2,1,1,1,1,2
Drought(Moderate)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),72.26818064706099,2.8341920060437946,-1310.8407439477774,1,2,1,1,2,1
Drought(Moderate)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),77.43151385770548,4.247321364701372,-1451.1233439477774,1,1,2,2,1,1
Drought(Moderate)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),39.06295907100004,0.9382857819228148,-969.6579432990496,2,2,0,0,2,2
Drought(Moderate)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Moderate),43.11055338805257,1.131740285494751,-1079.6270332990498,1,3,0,0,3,1
Drought(Moderate)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),53.97523280209062,1.9723376494759137,-1374.8095082990496,1,2,1,1,2,1
Drought(Moderate)+Energy(Moderate)+Conflict(Moderate)+Cyber(Optimistic),49.81655452905886,1.223950880315227,-1061.8727236787945,1,3,0,0,3,1
Drought(Moderate)+Energy(Moderate)+Conflict(Moderate)+Cyber(Moderate),53.14986749604328,1.4413692782947678,-1152.4355036787942,0,4,0,0,4,0
Drought(Moderate)+Energy(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),62.097250542898166,2.3860944144281246,-1395.5269536787948,0,3,1,1,3,0
Drought(Moderate)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),71.32374544517648,2.50897538001574,-1285.1813839477772,1,2,1,1,2,1
Drought(Moderate)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),73.22849571202474,2.8341920060437946,-1336.9315439477773,0,3,1,1,3,0
Drought(Moderate)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),78.34128602451324,4.247321364701372,-1475.8409439477773,0,2,2,2,2,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),42.252847730869746,0.9382857819228148,-1056.3240282990496,2,1,1,1,1,2
Drought(Moderate)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),46.17155765762449,1.131740285494751,-1162.7914582990497,1,2,1,1,2,1
Drought(Moderate)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),56.87513158379035,1.9723376494759137,-1453.5968582990495,1,1,2,2,1,1
Drought(Moderate)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),52.443521660716264,1.223950880315227,-1133.2447936787948,1,2,1,1,2,1
Drought(Moderate)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),55.67069454157312,1.4413692782947678,-1220.9238536787943,0,3,1,1,3,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),64.48540248076853,2.3860944144281246,-1460.4106536787945,0,2,2,2,2,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),72.82486952040928,2.50897538001574,-1325.9654239477773,1,1,2,2,1,1
Drought(Moderate)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),74.66896830947036,2.8341920060437946,-1376.0677439477772,0,2,2,2,2,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),79.70594427472487,4.247321364701372,-1512.9173439477772,0,1,3,3,1,0
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),45.17334811733962,1.486902684156992,-1135.67110329905,3,0,1,1,0,3
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),48.8733400198756,1.7462645551461937,-1236.1961832990496,2,1,1,1,1,2
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),58.54484706834996,2.9130671951983986,-1498.9613582990498,2,0,2,2,0,2
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),54.848639626044395,1.8405269009603014,-1198.5894436787944,2,1,1,1,1,2
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Moderate),57.89569178107402,2.1320168453465262,-1281.3748036787947,1,2,1,1,2,1
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),65.86046229158232,3.443355460237523,-1497.7696536787944,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),74.19922264345392,3.431255991902434,-1363.3052239477774,2,0,2,2,0,2
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),75.94039530347086,3.867269581899147,-1410.6111439477775,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),80.49169273804704,5.828783068698389,-1534.2653439477772,1,0,3,3,0,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),47.299940557252754,1.486902684156992,-1193.44849329905,2,1,1,1,1,2
Drought(Pessimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Moderate),50.91400953292356,1.7462645551461937,-1291.6391332990497,1,2,1,1,2,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),60.47811292281645,2.9130671951983986,-1551.48625829905,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Optimistic),56.59995104714933,1.8405269009603014,-1246.1708236787945,1,2,1,1,2,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Moderate),59.576243144760575,2.1320168453465262,-1327.0337036787944,0,3,1,1,3,0
Drought(Pessimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),67.4525635834959,3.443355460237523,-1541.0254536787945,0,2,2,2,2,0
Drought(Pessimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),75.19997202694248,3.431255991902434,-1390.4945839477773,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),76.90071036843462,3.867269581899147,-1436.7019439477774,0,2,2,2,2,0
Drought(Pessimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),81.40146490485479,5.828783068698389,-1558.9829439477774,0,1,3,3,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),50.48982921712246,1.486902684156992,-1280.1145782990498,2,0,2,2,0,2
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),53.97501380249549,1.7462645551461937,-1374.8035582990497,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),63.37801170451617,2.9130671951983986,-1630.2736082990498,1,0,3,3,0,1
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),59.226918178806734,1.8405269009603014,-1317.5428936787944,1,1,2,2,1,1
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),62.0970701902904,2.1320168453465262,-1395.5220536787947,0,2,2,2,2,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),69.84071552136626,3.443355460237523,-1605.9091536787948,0,1,3,3,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),76.70109610217527,3.431255991902434,-1431.2786239477775,1,0,3,3,0,1
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),78.34118296588022,3.867269581899147,-1475.838143947777,0,1,3,3,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),82.76612315506642,5.828783068698389,-1596.0593439477773,0,0,4,4,0,0
