name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Conflict(Pessimistic)+Cyber(Moderate),64.44359380175936,1.6450788750907328,-1098.2545439477772,0,1,1,1,1,0
Conflict(Pessimistic)+Cyber(Pessimistic),70.85627001361846,2.5329324369275206,-1272.4805439477773,0,0,2,2,0,0
Drought(Optimistic)+Energy(Optimistic)+Conflict(Optimistic),24.744543413449158,0.43426353129899864,-580.6409082990497,3,0,0,0,0,3
Drought(Optimistic)+Energy(Optimistic)+Conflict(Moderate),38.024918105193414,0.657493608691549,-741.5057536787942,2,1,0,0,1,2
Drought(Optimistic)+Energy(Optimistic)+Conflict(Pessimistic),64.58566748868195,1.6616628969026668,-1102.1145439477773,2,0,1,1,0,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Optimistic),26.89261658507858,0.43426353129899864,-639.0019082990495,2,1,0,0,1,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Moderate),39.793919540652944,0.657493608691549,-789.5677536787944,1,2,0,0,2,1
Drought(Optimistic)+Energy(Moderate)+Conflict(Pessimistic),65.59652545180168,1.6616628969026668,-1129.5785439477772,1,1,1,1,1,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Optimistic),30.11472634252271,0.43426353129899864,-726.5434082990494,2,0,1,1,0,2
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Moderate),42.44742169384225,0.657493608691549,-861.6607536787943,1,1,1,1,1,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Pessimistic),67.11281239648127,1.6616628969026668,-1170.7745439477771,1,0,2,2,0,1
Drought(Moderate)+Energy(Optimistic)+Conflict(Optimistic),33.4150502410836,0.772625176087,-816.2099082990496,2,1,0,0,1,2
Drought(Moderate)+Energy(Optimistic)+Conflict(Moderate),45.16533549265708,1.0377693086065622,-935.5037536787945,1,2,0,0,2,1
Drought(Moderate)+Energy(Optimistic)+Conflict(Pessimistic),68.66590599580404,2.230483112836996,-1212.9705439477775,1,1,1,1,1,1
Drought(Moderate)+Energy(Moderate)+Conflict(Optimistic),35.56312341271301,0.772625176087,-874.5709082990495,1,2,0,0,2,1
Drought(Moderate)+Energy(Moderate)+Conflict(Moderate),46.93433692811661,1.0377693086065622,-983.5657536787943,0,3,0,0,3,0
Drought(Moderate)+Energy(Moderate)+Conflict(Pessimistic),69.67676395892379,2.230483112836996,-1240.4345439477775,0,2,1,1,2,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Optimistic),38.785233170157184,0.772625176087,-962.1124082990498,1,1,1,1,1,1
Drought(Moderate)+Energy(Pessimistic)+Conflict(Moderate),49.58783908130591,1.0377693086065622,-1055.6587536787947,0,2,1,1,2,0
Drought(Moderate)+Energy(Pessimistic)+Conflict(Pessimistic),71.19305090360338,2.230483112836996,-1281.6305439477774,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Optimistic),42.085557068718025,1.2674220708358772,-1051.7789082990498,2,0,1,1,0,2
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Moderate),52.30575288012073,1.5938584468547645,-1129.5017536787946,1,1,1,1,1,1
Drought(Pessimistic)+Energy(Optimistic)+Conflict(Pessimistic),72.74614450292613,3.0622868377864707,-1323.8265439477773,1,0,2,2,0,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Optimistic),44.23363024034745,1.2674220708358772,-1110.1399082990497,1,1,1,1,1,1
Drought(Pessimistic)+Energy(Moderate)+Conflict(Moderate),54.074754315580265,1.5938584468547645,-1177.5637536787945,0,2,1,1,2,0
Drought(Pessimistic)+Energy(Moderate)+Conflict(Pessimistic),73.75700246604586,3.0622868377864707,-1351.2905439477772,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Optimistic),47.4557399977916,1.2674220708358772,-1197.6814082990497,1,0,2,2,0,1
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Moderate),56.72825646876956,1.5938584468547645,-1249.6567536787943,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Conflict(Pessimistic),75.27328941072545,3.0622868377864707,-1392.4865439477771,0,0,3,3,0,0
Drought(Optimistic)+Energy(Optimistic)+Cyber(Optimistic),16.11692369980493,0.33249917071516055,-437.88070000000016,3,0,0,0,0,3
Drought(Optimistic)+Energy(Optimistic)+Cyber(Moderate),21.489914976627773,0.46719564316049333,-583.8595,2,1,0,0,1,2
Drought(Optimistic)+Energy(Optimistic)+Cyber(Pessimistic),35.92833744340977,1.0392477275754317,-976.1369999999998,2,0,1,1,0,2
Drought(Optimistic)+Energy(Moderate)+Cyber(Optimistic),18.618797158526263,0.33249917071516055,-505.8541000000001,2,1,0,0,1,2
Drought(Optimistic)+Energy(Moderate)+Cyber(Moderate),23.890702639037134,0.46719564316049333,-649.0864999999999,1,2,0,0,2,1
Drought(Optimistic)+Energy(Moderate)+Cyber(Pessimistic),38.20276786042916,1.0392477275754317,-1037.931,1,1,1,1,1,1
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Optimistic),22.371607346608258,0.33249917071516055,-607.8141999999998,2,0,1,1,0,2
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Moderate),27.49188413265118,0.46719564316049333,-746.9269999999998,1,1,1,1,1,1
Drought(Optimistic)+Energy(Pessimistic)+Cyber(Pessimistic),41.61441348595826,1.0392477275754317,-1130.6220000000003,1,0,2,2,0,1
Drought(Moderate)+Energy(Optimistic)+Cyber(Optimistic),25.80749015421989,0.6592640579116213,-701.1637000000001,2,1,0,0,1,2
Drought(Moderate)+Energy(Optimistic)+Cyber(Moderate),30.67045161765248,0.8293119669458988,-833.2855000000001,1,2,0,0,2,1
Drought(Moderate)+Energy(Optimistic)+Cyber(Pessimistic),43.57878464426368,1.5682031348714294,-1183.9920000000002,1,1,1,1,1,1
Drought(Moderate)+Energy(Moderate)+Cyber(Optimistic),28.309363612941237,0.6592640579116213,-769.1371000000004,1,2,0,0,2,1
Drought(Moderate)+Energy(Moderate)+Cyber(Moderate),33.07123928006184,0.8293119669458988,-898.5124999999999,0,3,0,0,3,0
Drought(Moderate)+Energy(Moderate)+Cyber(Pessimistic),45.85321506128309,1.5682031348714294,-1245.7860000000003,0,2,1,1,2,0
Drought(Moderate)+Energy(Pessimistic)+Cyber(Optimistic),32.06217380102322,0.6592640579116213,-871.0972000000002,1,1,1,1,1,1
Drought(Moderate)+Energy(Pessimistic)+Cyber(Moderate),36.67242077367589,0.8293119669458988,-996.353,0,2,1,1,2,0
Drought(Moderate)+Energy(Pessimistic)+Cyber(Pessimistic),49.26486068681218,1.5682031348714294,-1338.477,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Optimistic),35.49805660863484,1.1415022863491087,-964.4466999999999,2,0,1,1,0,2
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Moderate),39.85098825867717,1.369483248438893,-1082.7115000000003,1,1,1,1,1,1
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Pessimistic),51.229231845117596,2.3951112153927463,-1391.847,1,0,2,2,0,1
Drought(Pessimistic)+Energy(Moderate)+Cyber(Optimistic),37.99993006735617,1.1415022863491087,-1032.4200999999998,1,1,1,1,1,1
Drought(Pessimistic)+Energy(Moderate)+Cyber(Moderate),42.251775921086534,1.369483248438893,-1147.9385000000002,0,2,1,1,2,0
Drought(Pessimistic)+Energy(Moderate)+Cyber(Pessimistic),53.503662262137,2.3951112153927463,-1453.641,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Optimistic),41.752740255438184,1.1415022863491087,-1134.3802,1,0,2,2,0,1
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Moderate),45.852957414700576,1.369483248438893,-1245.779,0,1,2,2,1,0
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Pessimistic),56.91530788766609,2.3951112153927463,-1546.3320000000003,0,0,3,3,0,0
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),27.636088924877626,0.5665426690769586,-659.2013082990499,3,0,0,0,0,3
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),32.24609297360963,0.7197797147882963,-784.4505082990495,2,1,0,0,1,2
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),44.57245389966506,1.3705730861168204,-1119.3454082990497,2,0,1,1,0,2
Drought(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),40.406190879310984,0.8061586316854663,-806.2025536787943,2,1,0,0,1,2
Drought(Optimistic)+Conflict(Moderate)+Cyber(Moderate),44.20266480179616,0.9783776928834282,-909.3489536787943,1,2,0,0,2,1
Drought(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),54.353785564430055,1.7097871436711,-1185.1447536787946,1,1,1,1,1,1
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),65.9463947881777,1.8840375332525074,-1139.0841439477772,2,0,1,1,0,2
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),68.11580845816923,2.1416445368042076,-1198.024943947777,1,1,1,1,1,1
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),73.91644889396002,3.2356941482477772,-1355.622543947777,1,0,2,2,0,1
Drought(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),35.873070411130335,0.9382857819228148,-882.9918582990497,2,1,0,0,1,2
Drought(Moderate)+Conflict(Optimistic)+Cyber(Moderate),40.04954911848061,1.131740285494751,-996.4626082990497,1,2,0,0,2,1
Drought(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),51.0753340203909,1.9723376494759137,-1296.0221582990498,1,1,1,1,1,1
Drought(Moderate)+Conflict(Moderate)+Cyber(Optimistic),47.18958739740146,1.223950880315227,-990.5006536787945,1,2,0,0,2,1
Drought(Moderate)+Conflict(Moderate)+Cyber(Moderate),50.62904045051345,1.4413692782947678,-1083.9471536787944,0,3,0,0,3,0
Drought(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),59.7090986050278,2.3860944144281246,-1330.6432536787945,0,2,1,1,2,0
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),69.82262136994368,2.50897538001574,-1244.3973439477772,1,1,1,1,1,1
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),71.78802311457912,2.8341920060437946,-1297.7953439477772,0,2,1,1,2,0
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),76.9766277743016,4.247321364701372,-1438.7645439477774,0,1,2,2,1,0
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),44.11005189738305,1.486902684156992,-1106.7824082990496,2,0,1,1,0,2
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),47.853005263351605,1.7462645551461937,-1208.4747082990498,1,1,1,1,1,1
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),57.578214141116725,2.9130671951983986,-1472.6989082990497,1,0,2,2,0,1
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),53.97298391549194,1.8405269009603014,-1174.7987536787946,1,1,1,1,1,1
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),57.05541609923075,2.1320168453465262,-1258.5453536787945,0,2,1,1,2,0
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),65.06441164562553,3.443355460237523,-1476.1417536787944,0,1,2,2,1,0
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),73.69884795170967,3.431255991902434,-1349.7105439477773,1,0,2,2,0,1
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),75.460237770989,3.867269581899147,-1397.5657439477773,0,1,2,2,1,0
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),80.03680665464316,5.828783068698389,-1521.9065439477772,0,0,3,3,0,0
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),20.462403658581486,0.2980115822249654,-464.29945329904996,3,0,0,0,0,3
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),25.46297158526263,0.4243985568478552,-600.1598832990499,2,1,0,0,1,2
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),39.036206706172486,0.9525365925548439,-968.9311082990497,2,0,1,1,0,2
Energy(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),34.49845007177298,0.504363648198018,-645.6951436787945,2,1,0,0,1,2
Energy(Optimistic)+Conflict(Moderate)+Cyber(Moderate),38.61656483492215,0.6464066249218516,-757.5802036787945,1,2,0,0,2,1
Energy(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),49.79452316978911,1.239966989324411,-1061.2741536787946,1,1,1,1,1,1
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),62.57054289815599,1.432609562142093,-1047.3656239477773,2,0,1,1,0,2
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),64.92375133424122,1.6450788750907328,-1111.2999439477771,1,1,1,1,1,1
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),71.31115609702235,2.5329324369275206,-1284.8393439477773,1,0,2,2,0,1
Energy(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),22.58899609849461,0.2980115822249654,-522.0768432990496,2,1,0,0,1,2
Energy(Moderate)+Conflict(Optimistic)+Cyber(Moderate),27.503641098310595,0.4243985568478552,-655.6028332990497,1,2,0,0,2,1
