year,cv_surface,cv_groundwater,cv_desalination,cv_reuse
1990,0.0,0.0,0.0,0.0
1991,0.03471292454661402,0.005672562885174402,0.0,0.047283736127975824
1992,0.04791537025513382,0.0080545229244114,0.0,0.06470588235294118
1993,0.060411165331301794,0.010440390565204027,0.0,0.08091703097489379
1994,0.072296727978909,0.012838728788940953,0.0,0.09609131011561374
1995,0.06913554225808231,0.012943831732427245,0.0,0.09058607880690671
1996,0.06623922193497452,0.013050669708631406,0.0,0.08567747355136003
1997,0.06357581718876423,0.013159286037832564,0.0,0.08127349126600976
1998,0.06111831823116652,0.013269725494573573,0.0,0.07730012058189373
1999,0.0588437360640329,0.013382034369202126,0.0,0.0736971488598563
2000,0.05673238113536079,0.013496260532563668,0.0,0.07041508959889105
2001,0.09752816238487937,0.018591208888672463,0.0,0.07004179747344569
2002,0.14205223900326328,0.02572160278917485,0.0,0.07085640350886888
2003,0.17238207546280732,0.03261832370703811,0.0,0.07142415353325737
2004,0.18121631363565488,0.037619818210540557,0.0,0.07065346160159558
2005,0.16258252552278835,0.03853671700563616,0.0,0.06763134334773602
2006,0.18740010802455453,0.02806280907294823,0.9428090415820634,0.07570456936745369
2007,0.24717242881829252,0.03685309826860414,0.667466369921643,0.09106500205919256
2008,0.31120819107494263,0.03743385350901239,0.5574601262155293,0.08959243409844093
2009,0.34218885248398195,0.053475958734415546,0.5133554363930947,0.07777210341156943
2010,0.14515181650673784,0.0854491416284941,0.3983535218556488,0.05563480385202152
2011,0.10860850016121082,0.12458894635608352,0.3631771088174292,0.0342556451564217
2012,0.07528157813152599,0.10052042886429177,0.3147261640461772,0.02845645065150533
2013,0.13482081058092849,0.07749543796722544,0.24311117104125338,0.05083093070730066
2014,0.22767782680058238,0.045972840576477055,0.1353847875839827,0.04789680606821586
2015,0.4612472727473913,0.03644112505843991,0.23929152449886928,0.05292588425530306
2016,0.7240217655468891,0.038576231050759434,0.2477249366843739,0.06780912149924792
2017,0.9531247508149252,0.04160942617810184,0.23114869480427078,0.061387607997246615
2018,0.8662999777157367,0.028845940853344826,0.2027992696883475,0.058898503988335286
2019,0.3855799713840471,0.02968049736944858,0.096458652645374,0.048138621524211514
2020,1.2696317525698277,0.0446081255159061,0.06457357524619319,0.03288199037501362
2021,0.9702642559084222,0.08637639497684457,0.07014699272717755,0.034886337324891006
2022,0.7223522304682684,0.10557165574841515,0.08119406997898047,0.03434883689655438
2023,0.4439293451381741,0.09579092556774682,0.056245056391689474,0.03529972062201017
